base_channels,batch_size,conv_layers,dropout,kernel_size,learning_rate,max_epochs,number,rhythm_hidden,state,value,weight_decay
32,128,2,0.1,7,0.0018862173442424008,14,75,64,TrialState.PRUNED,0.8971020091845702,1e-05
16,64,2,0.1,11,0.0021914048806126307,10,76,32,TrialState.COMPLETE,0.9324351121166184,0.001
16,64,2,0.1,11,0.0022134996779232465,9,77,32,TrialState.PRUNED,0.8915630641152225,0.001
16,64,2,0.15000000000000002,11,0.0011607365716325136,10,78,32,TrialState.PRUNED,0.8761711693813066,0.001
16,128,2,0.1,11,0.0027122340115103482,7,79,64,TrialState.PRUNED,0.8994959210228297,0.001
16,256,2,0.15000000000000002,11,0.000688551200063533,10,80,32,TrialState.PRUNED,0.8297720900497957,0.001
16,64,2,0.1,9,0.0021433675792424593,15,81,32,TrialState.PRUNED,0.8913904598007223,1e-05
32,64,2,0.1,11,0.0018275321086723114,12,82,32,TrialState.PRUNED,0.8856434038717772,0.0001
16,64,2,0.1,11,0.001240870261095091,11,83,32,TrialState.PRUNED,0.9072256303921055,0.001
8,64,2,0.1,7,0.0015762016549877081,14,84,32,TrialState.PRUNED,0.8767444543309072,1e-05
16,64,2,0.1,11,0.0005793456358309193,16,85,32,TrialState.PRUNED,0.8822645552179011,0.001
16,64,2,0.15000000000000002,11,0.002337423189950783,11,86,16,TrialState.PRUNED,0.8863683606796506,1e-05
32,64,2,0.1,7,0.00086610797123895,13,87,32,TrialState.PRUNED,0.8823463921414465,0.001
16,64,3,0.1,5,0.0027178157266355227,15,88,64,TrialState.PRUNED,0.8935829966909423,1e-05
16,256,2,0.15000000000000002,5,0.001718100985991789,17,89,32,TrialState.PRUNED,0.8748590303406972,0.001
16,64,2,0.1,9,0.001962958344223924,14,90,64,TrialState.COMPLETE,0.9299321142892122,0.0001
16,64,2,0.1,9,0.0023939531728683497,14,91,64,TrialState.PRUNED,0.8954632724345913,0.0001
16,64,2,0.1,11,0.0019119154540221074,15,92,64,TrialState.PRUNED,0.8995319658871337,0.0001
16,64,2,0.1,9,0.0020841318467045822,13,93,64,TrialState.PRUNED,0.8822217909634812,0.0001
16,64,2,0.1,9,0.0028479532140467372,15,94,64,TrialState.COMPLETE,0.932855442022479,0.0001
16,64,2,0.1,9,0.0028826371075476856,15,95,64,TrialState.COMPLETE,0.9139135145284456,0.0001
16,64,2,0.1,9,0.0014298780281293054,16,96,64,TrialState.PRUNED,0.907336376895129,0.0001
16,64,2,0.1,9,0.0011033798847730554,16,97,64,TrialState.PRUNED,0.862551866342215,0.0001
16,128,2,0.1,9,0.0009602656188092154,14,98,64,TrialState.PRUNED,0.8666458573295651,0.0001
16,256,2,0.15000000000000002,9,0.0007714340921582689,8,99,64,TrialState.PRUNED,0.8748644330149331,0.0001
